symbol,event_date,event_type,baseline_state,baseline_label,nh_state,nh_label,baseline_ll,nh_ll,A_event_norm,days_to_event_signed,manual_verdict
ASIANPAINT.NS,2023-03-31,Results,1,Sideways,0,Bear,12796.277458323462,13202.751751254984,0.20910098362672436,0,True
ASIANPAINT.NS,2023-06-30,Results,1,Sideways,0,Bear,12796.277458323462,13202.751751254984,0.20910098362672436,0,True
ASIANPAINT.NS,2024-09-30,Results,1,Sideways,0,Bear,12796.277458323462,13202.751751254984,0.20910098362672436,0,True
ASIANPAINT.NS,2024-12-31,Results,1,Sideways,0,Bear,12796.277458323462,13202.751751254984,0.20910098362672436,0,False
ASIANPAINT.NS,2025-06-30,Results,1,Sideways,0,Bear,12796.277458323462,13202.751751254984,0.20910098362672436,0,False
ASIANPAINT.NS,2025-09-30,Results,1,Sideways,0,Bear,12796.277458323462,13202.751751254984,0.20910098362672436,0,True
ASIANPAINT.NS,2025-12-31,Results,1,Sideways,0,Bear,12796.277458323462,13202.751751254984,0.20910098362672436,0,False
DRREDDY.NS,2024-12-31,Results,1,Sideways,0,Bear,12852.525158601009,13319.923916074795,0.14121123862932886,0,True
HINDUNILVR.NS,2023-03-31,Results,0,Bear,1,Sideways,13170.27941758507,13641.418136106564,1.3560782486119665,0,False
HINDUNILVR.NS,2024-09-30,Results,0,Bear,1,Sideways,13170.27941758507,13641.418136106564,1.3560782486119665,0,False
ICICIBANK.NS,2023-03-31,Results,1,Sideways,0,Bear,12555.333209657878,12897.276085192925,1.348578113484213,0,False
ICICIBANK.NS,2023-06-30,Results,1,Sideways,0,Bear,12555.333209657878,12897.276085192925,1.348578113484213,0,False
ICICIBANK.NS,2024-09-30,Results,1,Sideways,2,Bull,12555.333209657878,12897.276085192925,1.348578113484213,0,False
ICICIBANK.NS,2024-12-31,Results,1,Sideways,0,Bear,12555.333209657878,12897.276085192925,1.348578113484213,0,True
ICICIBANK.NS,2025-06-30,Results,1,Sideways,0,Bear,12555.333209657878,12897.276085192925,1.348578113484213,0,True
ICICIBANK.NS,2025-09-30,Results,1,Sideways,0,Bear,12555.333209657878,12897.276085192925,1.348578113484213,0,False
ICICIBANK.NS,2025-12-31,Results,1,Sideways,0,Bear,12555.333209657878,12897.276085192925,1.348578113484213,0,False
INFY.NS,2023-03-31,Results,2,Bull,1,Sideways,12595.587350285094,12901.308890832936,1.3273914796907327,0,False
INFY.NS,2023-06-30,Results,2,Bull,1,Sideways,12595.587350285094,12901.308890832936,1.3273914796907327,0,False
INFY.NS,2024-09-30,Results,2,Bull,1,Sideways,12595.587350285094,12901.308890832936,1.3273914796907327,0,False
INFY.NS,2024-12-31,Results,2,Bull,1,Sideways,12595.587350285094,12901.308890832936,1.3273914796907327,0,False
INFY.NS,2025-06-30,Results,2,Bull,1,Sideways,12595.587350285094,12901.308890832936,1.3273914796907327,0,False
INFY.NS,2025-09-30,Results,2,Bull,1,Sideways,12595.587350285094,12901.308890832936,1.3273914796907327,0,False
INFY.NS,2025-12-31,Results,2,Bull,1,Sideways,12595.587350285094,12901.308890832936,1.3273914796907327,0,False
LT.NS,2023-03-31,Results,1,Sideways,0,Bear,12555.757663033048,12936.472197068588,0.13493035452286312,0,False
LT.NS,2023-06-30,Results,1,Sideways,0,Bear,12555.757663033048,12936.472197068588,0.13493035452286312,0,True
LT.NS,2024-09-30,Results,1,Sideways,0,Bear,12555.757663033048,12936.472197068588,0.13493035452286312,0,True
LT.NS,2024-12-31,Results,1,Sideways,0,Bear,12555.757663033048,12936.472197068588,0.13493035452286312,0,False
LT.NS,2025-06-30,Results,1,Sideways,0,Bear,12555.757663033048,12936.472197068588,0.13493035452286312,0,True
LT.NS,2025-09-30,Results,1,Sideways,0,Bear,12555.757663033048,12936.472197068588,0.13493035452286312,0,False
LT.NS,2025-12-31,Results,1,Sideways,0,Bear,12555.757663033048,12936.472197068588,0.13493035452286312,0,False
MARUTI.NS,2023-03-31,Results,1,Sideways,0,Bear,12537.05245988901,12784.429844224984,1.3173882932826861,0,False
MARUTI.NS,2023-06-30,Results,1,Sideways,0,Bear,12537.05245988901,12784.429844224984,1.3173882932826861,0,False
MARUTI.NS,2024-12-31,Results,1,Sideways,0,Bear,12537.05245988901,12784.429844224984,1.3173882932826861,0,False
MARUTI.NS,2025-06-30,Results,1,Sideways,0,Bear,12537.05245988901,12784.429844224984,1.3173882932826861,0,False
MARUTI.NS,2025-09-30,Results,1,Sideways,0,Bear,12537.05245988901,12784.429844224984,1.3173882932826861,0,True
MARUTI.NS,2025-12-31,Results,1,Sideways,0,Bear,12537.05245988901,12784.429844224984,1.3173882932826861,0,False
NESTLEIND.NS,2024-09-30,Results,0,Bear,1,Sideways,13284.473375057805,13659.911140984068,1.246827133747748,0,False
ONGC.NS,2023-03-31,Results,1,Sideways,0,Bear,11783.374294857804,12013.377670793554,0.2845169958842584,0,False
ONGC.NS,2023-06-30,Results,1,Sideways,0,Bear,11783.374294857804,12013.377670793554,0.2845169958842584,0,False
ONGC.NS,2024-09-30,Results,1,Sideways,0,Bear,11783.374294857804,12013.377670793554,0.2845169958842584,0,True
ONGC.NS,2024-12-31,Results,1,Sideways,0,Bear,11783.374294857804,12013.377670793554,0.2845169958842584,0,False
ONGC.NS,2025-06-30,Results,1,Sideways,0,Bear,11783.374294857804,12013.377670793554,0.2845169958842584,0,True
ONGC.NS,2025-09-30,Results,1,Sideways,0,Bear,11783.374294857804,12013.377670793554,0.2845169958842584,0,False
ONGC.NS,2025-12-31,Results,1,Sideways,0,Bear,11783.374294857804,12013.377670793554,0.2845169958842584,0,True
RELIANCE.NS,2023-06-30,Results,0,Bear,1,Sideways,12618.954140207705,12942.269537799668,0.12328610400518242,0,False
RELIANCE.NS,2024-12-31,Results,0,Bear,1,Sideways,12618.954140207705,12942.269537799668,0.12328610400518242,0,False
RELIANCE.NS,2025-06-30,Results,0,Bear,1,Sideways,12618.954140207705,12942.269537799668,0.12328610400518242,0,False
RELIANCE.NS,2025-09-30,Results,0,Bear,1,Sideways,12618.954140207705,12942.269537799668,0.12328610400518242,0,False
RELIANCE.NS,2025-12-31,Results,0,Bear,1,Sideways,12618.954140207705,12942.269537799668,0.12328610400518242,0,False
SUNPHARMA.NS,2023-03-31,Results,0,Bear,1,Sideways,12789.972162143244,13124.870767459934,0.10734678504895123,0,False
SUNPHARMA.NS,2024-09-30,Results,0,Bear,1,Sideways,12789.972162143244,13124.870767459934,0.10734678504895123,0,False
SUNPHARMA.NS,2024-12-31,Results,0,Bear,1,Sideways,12789.972162143244,13124.870767459934,0.10734678504895123,0,False
SUNPHARMA.NS,2025-06-30,Results,0,Bear,1,Sideways,12789.972162143244,13124.870767459934,0.10734678504895123,0,False
SUNPHARMA.NS,2025-09-30,Results,0,Bear,1,Sideways,12789.972162143244,13124.870767459934,0.10734678504895123,0,False
SUNPHARMA.NS,2025-12-31,Results,0,Bear,1,Sideways,12789.972162143244,13124.870767459934,0.10734678504895123,0,False
